event_index,event_name,marker_code,trial_id,class_name,sample_index,absolute_sample_index,elapsed_sec,iso_time
0,session_start,100,,,0,764,0.0019614999982877634,2026-03-29T21:53:42.976
1,trial_start,200,1,tongue,1,765,0.002066900000500027,2026-03-29T21:53:42.976
2,baseline_start,110,1,tongue,2,766,0.0021051000003353693,2026-03-29T21:53:42.976
3,baseline_end,111,1,tongue,1017,1781,4.053943099999742,2026-03-29T21:53:47.028
4,cue_tongue,304,1,tongue,1018,1782,4.054121100001794,2026-03-29T21:53:47.028
5,imagery_tongue,314,1,tongue,1391,2155,5.584314599997015,2026-03-29T21:53:48.558
6,imagery_end,320,1,tongue,2409,3173,9.638815600003,2026-03-29T21:53:52.612
7,iti_start,330,1,tongue,2410,3174,9.638919299999543,2026-03-29T21:53:52.613
8,trial_end,210,1,tongue,2931,3695,11.71417659999861,2026-03-29T21:53:54.688
9,trial_start,200,2,feet,2932,3696,11.714462199997797,2026-03-29T21:53:54.688
10,baseline_start,110,2,feet,2933,3697,11.714508600001864,2026-03-29T21:53:54.688
11,baseline_end,111,2,feet,3940,4704,15.768714300000283,2026-03-29T21:53:58.742
12,cue_feet,303,2,feet,3941,4705,15.768833399997675,2026-03-29T21:53:58.743
13,imagery_feet,313,2,feet,4325,5089,17.292872300000454,2026-03-29T21:54:00.267
14,imagery_end,320,2,feet,5329,6093,21.343437900002755,2026-03-29T21:54:04.317
15,iti_start,330,2,feet,5330,6094,21.343555899999046,2026-03-29T21:54:04.317
16,trial_end,210,2,feet,5866,6630,23.438326399998914,2026-03-29T21:54:06.412
17,trial_start,200,3,right_hand,5867,6631,23.438606499999878,2026-03-29T21:54:06.412
18,baseline_start,110,3,right_hand,5868,6632,23.438706200002343,2026-03-29T21:54:06.412
19,baseline_end,111,3,right_hand,6872,7636,27.483714499998314,2026-03-29T21:54:10.457
20,cue_right_hand,302,3,right_hand,6873,7637,27.483853899997484,2026-03-29T21:54:10.458
21,imagery_right_hand,312,3,right_hand,7256,8020,29.018681599998672,2026-03-29T21:54:11.992
22,imagery_end,320,3,right_hand,8273,9037,33.09245579999697,2026-03-29T21:54:16.066
23,iti_start,330,3,right_hand,8274,9038,33.09255739999935,2026-03-29T21:54:16.066
24,trial_end,210,3,right_hand,8790,9554,35.167809799997485,2026-03-29T21:54:18.141
25,trial_start,200,4,left_hand,8791,9555,35.16808830000082,2026-03-29T21:54:18.142
26,baseline_start,110,4,left_hand,8792,9556,35.16813479999837,2026-03-29T21:54:18.142
27,baseline_end,111,4,left_hand,9804,10568,39.21113630000036,2026-03-29T21:54:22.185
28,cue_left_hand,301,4,left_hand,9805,10569,39.21124229999987,2026-03-29T21:54:22.185
29,imagery_left_hand,311,4,left_hand,10171,10935,40.739353500001016,2026-03-29T21:54:23.713
30,imagery_end,320,4,left_hand,11201,11965,44.792142699996475,2026-03-29T21:54:27.766
31,iti_start,330,4,left_hand,11202,11966,44.79224460000114,2026-03-29T21:54:27.766
32,trial_end,210,4,left_hand,11724,12488,46.88994349999848,2026-03-29T21:54:29.864
33,trial_start,200,5,tongue,11725,12489,46.89019939999707,2026-03-29T21:54:29.864
34,baseline_start,110,5,tongue,11726,12490,46.89024529999733,2026-03-29T21:54:29.864
35,baseline_end,111,5,tongue,12737,13501,50.938607399999455,2026-03-29T21:54:33.912
36,cue_tongue,304,5,tongue,12738,13502,50.93872430000192,2026-03-29T21:54:33.912
37,imagery_tongue,314,5,tongue,13115,13879,52.46502889999829,2026-03-29T21:54:35.439
38,imagery_end,320,5,tongue,14127,14891,56.511203699999896,2026-03-29T21:54:39.485
39,iti_start,330,5,tongue,14128,14892,56.51132189999771,2026-03-29T21:54:39.485
40,trial_end,210,5,tongue,14645,15409,58.58709839999938,2026-03-29T21:54:41.561
41,trial_start,200,6,feet,14646,15410,58.58742070000153,2026-03-29T21:54:41.561
42,baseline_start,110,6,feet,14647,15411,58.5874788000001,2026-03-29T21:54:41.561
43,baseline_end,111,6,feet,15664,16428,62.6416504000008,2026-03-29T21:54:45.615
44,cue_feet,303,6,feet,15665,16429,62.6417655999976,2026-03-29T21:54:45.615
45,imagery_feet,313,6,feet,16046,16810,64.17535320000025,2026-03-29T21:54:47.149
46,imagery_end,320,6,feet,17058,17822,68.24553549999837,2026-03-29T21:54:51.219
47,iti_start,330,6,feet,17059,17823,68.24565109999821,2026-03-29T21:54:51.219
48,trial_end,210,6,feet,17574,18338,70.31993749999674,2026-03-29T21:54:53.294
49,trial_start,200,7,left_hand,17575,18339,70.32022419999703,2026-03-29T21:54:53.294
50,baseline_start,110,7,left_hand,17576,18340,70.32032900000195,2026-03-29T21:54:53.294
51,baseline_end,111,7,left_hand,18584,19348,74.36754800000199,2026-03-29T21:54:57.341
52,cue_left_hand,301,7,left_hand,18585,19349,74.36767939999845,2026-03-29T21:54:57.341
53,imagery_left_hand,311,7,left_hand,18963,19727,75.89798840000003,2026-03-29T21:54:58.872
54,imagery_end,320,7,left_hand,19986,20750,79.9449323000008,2026-03-29T21:55:02.919
55,iti_start,330,7,left_hand,19987,20751,79.94505439999921,2026-03-29T21:55:02.919
56,trial_end,210,7,left_hand,20507,21271,82.02581449999707,2026-03-29T21:55:04.999
57,trial_start,200,8,right_hand,20508,21272,82.02603680000175,2026-03-29T21:55:05.000
58,baseline_start,110,8,right_hand,20509,21273,82.02607600000192,2026-03-29T21:55:05.000
59,baseline_end,111,8,right_hand,21510,22274,86.07345180000266,2026-03-29T21:55:09.047
60,cue_right_hand,302,8,right_hand,21511,22275,86.07355839999946,2026-03-29T21:55:09.047
61,imagery_right_hand,312,8,right_hand,21900,22664,87.60163710000052,2026-03-29T21:55:10.575
62,imagery_end,320,8,right_hand,22903,23667,91.65484039999865,2026-03-29T21:55:14.629
63,iti_start,330,8,right_hand,22904,23668,91.6549468000012,2026-03-29T21:55:14.629
64,trial_end,210,8,right_hand,23439,24203,93.73349530000269,2026-03-29T21:55:16.707
65,trial_start,200,9,left_hand,23440,24204,93.73375300000043,2026-03-29T21:55:16.707
66,baseline_start,110,9,left_hand,23441,24205,93.73379310000018,2026-03-29T21:55:16.707
67,baseline_end,111,9,left_hand,24444,25208,97.77452059999632,2026-03-29T21:55:20.748
68,cue_left_hand,301,9,left_hand,24445,25209,97.77463900000294,2026-03-29T21:55:20.748
69,imagery_left_hand,311,9,left_hand,24826,25590,99.31603200000245,2026-03-29T21:55:22.290
70,imagery_end,320,9,left_hand,25852,26616,103.38938990000315,2026-03-29T21:55:26.363
71,iti_start,330,9,left_hand,25853,26617,103.38949790000333,2026-03-29T21:55:26.363
72,trial_end,210,9,left_hand,26364,27128,105.46836780000012,2026-03-29T21:55:28.442
73,trial_start,200,10,tongue,26365,27129,105.46861750000244,2026-03-29T21:55:28.442
74,baseline_start,110,10,tongue,26366,27130,105.46865670000261,2026-03-29T21:55:28.442
75,baseline_end,111,10,tongue,27366,28130,109.50455890000012,2026-03-29T21:55:32.478
76,cue_tongue,304,10,tongue,27367,28131,109.504689100002,2026-03-29T21:55:32.478
77,imagery_tongue,314,10,tongue,27763,28527,111.04676070000278,2026-03-29T21:55:34.020
78,imagery_end,320,10,tongue,28774,29538,115.08931750000193,2026-03-29T21:55:38.063
79,iti_start,330,10,tongue,28775,29539,115.08941899999627,2026-03-29T21:55:38.063
80,trial_end,210,10,tongue,29288,30052,117.1610709000015,2026-03-29T21:55:40.135
81,trial_start,200,11,feet,29289,30053,117.16138859999774,2026-03-29T21:55:40.135
82,baseline_start,110,11,feet,29290,30054,117.16145839999808,2026-03-29T21:55:40.135
83,baseline_end,111,11,feet,30311,31075,121.21798359999957,2026-03-29T21:55:44.192
84,cue_feet,303,11,feet,30312,31076,121.21810929999629,2026-03-29T21:55:44.192
85,imagery_feet,313,11,feet,30679,31443,122.7394237999979,2026-03-29T21:55:45.713
86,imagery_end,320,11,feet,31704,32468,126.80034619999788,2026-03-29T21:55:49.774
87,iti_start,330,11,feet,31705,32469,126.80046109999967,2026-03-29T21:55:49.774
88,trial_end,210,11,feet,32215,32979,128.88653969999723,2026-03-29T21:55:51.860
89,trial_start,200,12,right_hand,32216,32980,128.88677750000352,2026-03-29T21:55:51.860
90,baseline_start,110,12,right_hand,32217,32981,128.88681489999726,2026-03-29T21:55:51.860
91,baseline_end,111,12,right_hand,33235,33999,132.93519840000226,2026-03-29T21:55:55.909
92,cue_right_hand,302,12,right_hand,33236,34000,132.93534340000042,2026-03-29T21:55:55.909
93,imagery_right_hand,312,12,right_hand,33616,34380,134.47036210000078,2026-03-29T21:55:57.444
94,imagery_end,320,12,right_hand,34627,35391,138.50864469999942,2026-03-29T21:56:01.482
95,iti_start,330,12,right_hand,34628,35392,138.50875110000197,2026-03-29T21:56:01.482
96,trial_end,210,12,right_hand,35144,35908,140.5918679000024,2026-03-29T21:56:03.566
97,trial_start,200,13,feet,35145,35909,140.59212310000294,2026-03-29T21:56:03.566
98,baseline_start,110,13,feet,35146,35910,140.59216059999744,2026-03-29T21:56:03.566
99,baseline_end,111,13,feet,36146,36910,144.62994289999915,2026-03-29T21:56:07.604
100,cue_feet,303,13,feet,36147,36911,144.63005240000348,2026-03-29T21:56:07.604
101,imagery_feet,313,13,feet,36541,37305,146.17055550000077,2026-03-29T21:56:09.144
102,imagery_end,320,13,feet,37549,38313,150.2193464000011,2026-03-29T21:56:13.193
103,iti_start,330,13,feet,37550,38314,150.2194776999968,2026-03-29T21:56:13.193
