event_index,save_index,event_name,marker_code,trial_id,mi_run_index,run_trial_index,block_index,prompt_index,class_name,command_duration_sec,execution_success,sample_index,absolute_sample_index,elapsed_sec,iso_time
0,1,session_start,100,,,,,,,,,0,3160,0.0031790999928489327,2026-04-04T12:26:29.681
1,1,mi_run_start,130,,1,,,,,,,1,3161,0.01866590000281576,2026-04-04T12:26:29.697
2,1,trial_start,200,1,1,1,,,tongue,,,2,3162,0.018890799998189323,2026-04-04T12:26:29.699
3,1,fixation_start,112,1,1,1,,,tongue,,,3,3163,0.018907599995145574,2026-04-04T12:26:29.699
4,1,baseline_start,110,1,1,1,,,tongue,,,4,3164,0.018918999994639307,2026-04-04T12:26:29.699
5,1,baseline_end,111,1,1,1,,,tongue,,,537,3697,2.0985099999961676,2026-04-04T12:26:31.778
6,1,cue_start,120,1,1,1,,,tongue,,,538,3698,2.0985753999993904,2026-04-04T12:26:31.778
7,1,cue_tongue,304,1,1,1,,,tongue,,,539,3699,2.0985889000003226,2026-04-04T12:26:31.778
8,1,imagery_start,121,1,1,1,,,tongue,,,1031,4191,4.174559599996428,2026-04-04T12:26:33.854
9,1,imagery_tongue,314,1,1,1,,,tongue,,,1032,4192,4.174624699997366,2026-04-04T12:26:33.854
10,1,imagery_end,320,1,1,1,,,tongue,,,2064,5224,8.21242070000153,2026-04-04T12:26:37.892
11,1,iti_start,330,1,1,1,,,tongue,,,2065,5225,8.212464700001874,2026-04-04T12:26:37.892
12,1,trial_end,210,1,1,1,,,tongue,,,2588,5748,10.302918899993529,2026-04-04T12:26:39.982
13,1,trial_start,200,2,1,2,,,right_hand,,,2589,5749,10.304615300003206,2026-04-04T12:26:39.984
14,1,fixation_start,112,2,1,2,,,right_hand,,,2590,5750,10.304641099995933,2026-04-04T12:26:39.984
15,1,baseline_start,110,2,1,2,,,right_hand,,,2591,5751,10.304652799997712,2026-04-04T12:26:39.984
16,1,baseline_end,111,2,1,2,,,right_hand,,,3112,6272,12.396068100002594,2026-04-04T12:26:42.075
17,1,cue_start,120,2,1,2,,,right_hand,,,3113,6273,12.39610939999693,2026-04-04T12:26:42.075
18,1,cue_right_hand,302,2,1,2,,,right_hand,,,3114,6274,12.39612269999634,2026-04-04T12:26:42.075
19,1,imagery_start,121,2,1,2,,,right_hand,,,3621,6781,14.47186469999724,2026-04-04T12:26:44.152
20,1,imagery_right_hand,312,2,1,2,,,right_hand,,,3622,6782,14.471917699993355,2026-04-04T12:26:44.152
21,1,imagery_end,320,2,1,2,,,right_hand,,,4639,7799,18.510415099997772,2026-04-04T12:26:48.190
22,1,iti_start,330,2,1,2,,,right_hand,,,4640,7800,18.510481399993296,2026-04-04T12:26:48.190
23,1,trial_end,210,2,1,2,,,right_hand,,,5163,8323,20.590454100005445,2026-04-04T12:26:50.269
24,1,trial_start,200,3,1,3,,,feet,,,5164,8324,20.592199899998377,2026-04-04T12:26:50.272
25,1,fixation_start,112,3,1,3,,,feet,,,5165,8325,20.592225700005656,2026-04-04T12:26:50.272
26,1,baseline_start,110,3,1,3,,,feet,,,5166,8326,20.59223700000439,2026-04-04T12:26:50.272
27,1,baseline_end,111,3,1,3,,,feet,,,5673,8833,22.680444099998567,2026-04-04T12:26:52.360
28,1,cue_start,120,3,1,3,,,feet,,,5674,8834,22.680520199995954,2026-04-04T12:26:52.360
29,1,cue_feet,303,3,1,3,,,feet,,,5675,8835,22.68053389999841,2026-04-04T12:26:52.360
30,1,imagery_start,121,3,1,3,,,feet,,,6211,9371,24.775105099994107,2026-04-04T12:26:54.454
31,1,imagery_feet,313,3,1,3,,,feet,,,6212,9372,24.775216299996828,2026-04-04T12:26:54.454
32,1,imagery_end,320,3,1,3,,,feet,,,7214,10374,28.827553299997817,2026-04-04T12:26:58.507
33,1,iti_start,330,3,1,3,,,feet,,,7215,10375,28.827625699996133,2026-04-04T12:26:58.507
34,1,trial_end,210,3,1,3,,,feet,,,7737,10897,30.900995100004366,2026-04-04T12:27:00.580
35,1,trial_start,200,4,1,4,,,left_hand,,,7738,10898,30.90270910000254,2026-04-04T12:27:00.582
36,1,fixation_start,112,4,1,4,,,left_hand,,,7739,10899,30.902736200005165,2026-04-04T12:27:00.582
37,1,baseline_start,110,4,1,4,,,left_hand,,,7740,10900,30.902748799999245,2026-04-04T12:27:00.582
38,1,baseline_end,111,4,1,4,,,left_hand,,,8261,11421,32.98361969999678,2026-04-04T12:27:02.663
39,1,cue_start,120,4,1,4,,,left_hand,,,8262,11422,32.98367479999433,2026-04-04T12:27:02.663
40,1,cue_left_hand,301,4,1,4,,,left_hand,,,8263,11423,32.98368869999831,2026-04-04T12:27:02.663
41,1,imagery_start,121,4,1,4,,,left_hand,,,8785,11945,35.070436599999084,2026-04-04T12:27:04.750
42,1,imagery_left_hand,311,4,1,4,,,left_hand,,,8786,11946,35.07049919999554,2026-04-04T12:27:04.750
43,1,imagery_end,320,4,1,4,,,left_hand,,,9788,12948,39.127459700001054,2026-04-04T12:27:08.807
44,1,iti_start,330,4,1,4,,,left_hand,,,9789,12949,39.12752110000292,2026-04-04T12:27:08.807
45,1,trial_end,210,4,1,4,,,left_hand,,,10207,13367,40.79103559999203,2026-04-04T12:27:10.470
46,1,mi_run_end,131,,1,,,,,,,10208,13368,40.791103399998974,2026-04-04T12:27:10.470
47,1,session_end,101,,,,,,,,,10209,13369,40.79112599999644,2026-04-04T12:27:10.471
