event_index,save_index,event_name,marker_code,trial_id,mi_run_index,run_trial_index,block_index,prompt_index,class_name,command_duration_sec,execution_success,sample_index,absolute_sample_index,elapsed_sec,iso_time
0,1,session_start,100,,,,,,,,,0,4655,0.004222300000037649,2026-04-03T15:46:11.494
1,1,calibration_start,150,,,,,,,,,1,4656,0.0044683000000986794,2026-04-03T15:46:11.494
2,1,eyes_open_rest_start,160,,,,,,,,,2,4657,0.004487600000175007,2026-04-03T15:46:11.494
3,1,eyes_open_rest_end,161,,,,,,,,,15014,19669,60.0455350000002,2026-04-03T15:47:11.536
4,1,eyes_closed_rest_start,162,,,,,,,,,15015,19670,60.045593199999985,2026-04-03T15:47:11.536
5,1,eyes_closed_rest_end,163,,,,,,,,,30044,34699,120.0999166000006,2026-04-03T15:48:11.590
6,1,eye_movement_block_start,164,,,,,,,,,30045,34700,120.09998500000029,2026-04-03T15:48:11.590
7,1,eye_movement_block_end,165,,,,,,,,,37559,42214,150.1817433000001,2026-04-03T15:48:41.672
8,1,blink_block_start,166,,,,,,,,,37560,42215,150.1818159999998,2026-04-03T15:48:41.672
9,1,blink_block_end,167,,,,,,,,,42574,47229,170.19576590000042,2026-04-03T15:49:01.686
10,1,swallow_block_start,168,,,,,,,,,42575,47230,170.19583310000007,2026-04-03T15:49:01.686
11,1,swallow_block_end,169,,,,,,,,,47552,52207,190.21426269999984,2026-04-03T15:49:21.704
12,1,jaw_block_start,170,,,,,,,,,47553,52208,190.21434350000027,2026-04-03T15:49:21.704
13,1,jaw_block_end,171,,,,,,,,,52588,57243,210.22186120000015,2026-04-03T15:49:41.711
14,1,head_motion_block_start,172,,,,,,,,,52589,57244,210.22190830000045,2026-04-03T15:49:41.711
15,1,head_motion_block_end,173,,,,,,,,,57588,62243,230.23344279999992,2026-04-03T15:50:01.723
16,1,calibration_end,151,,,,,,,,,57589,62244,230.23351820000016,2026-04-03T15:50:01.723
17,1,practice_start,152,,,,,,,,,57590,62245,230.23353330000054,2026-04-03T15:50:01.723
18,1,practice_end,153,,,,,,,,,102596,107251,410.28127710000035,2026-04-03T15:53:01.771
19,1,mi_run_start,130,,1,,,,,,,102597,107252,410.28179820000014,2026-04-03T15:53:01.772
20,1,trial_start,200,1,1,1,,,tongue,,,102598,107253,410.28186550000055,2026-04-03T15:53:01.772
21,1,fixation_start,112,1,1,1,,,tongue,,,102599,107254,410.28187750000006,2026-04-03T15:53:01.772
22,1,baseline_start,110,1,1,1,,,tongue,,,102600,107255,410.28188679999994,2026-04-03T15:53:01.772
23,1,baseline_end,111,1,1,1,,,tongue,,,103111,107766,412.35999310000034,2026-04-03T15:53:03.850
24,1,cue_start,120,1,1,1,,,tongue,,,103112,107767,412.36004600000024,2026-04-03T15:53:03.850
25,1,cue_tongue,304,1,1,1,,,tongue,,,103113,107768,412.36006000000043,2026-04-03T15:53:03.850
26,1,imagery_start,121,1,1,1,,,tongue,,,103410,108065,413.45154630000025,2026-04-03T15:53:04.942
27,1,imagery_tongue,314,1,1,1,,,tongue,,,103411,108066,413.4516042,2026-04-03T15:53:04.942
28,1,imagery_end,320,1,1,1,,,tongue,,,104413,109068,417.5039591,2026-04-03T15:53:08.994
29,1,iti_start,330,1,1,1,,,tongue,,,104414,109069,417.5041633000005,2026-04-03T15:53:08.994
30,1,trial_end,210,1,1,1,,,tongue,,,104937,109592,419.57776800000056,2026-04-03T15:53:11.068
31,1,trial_start,200,2,1,2,,,left_hand,,,104938,109593,419.57946409999977,2026-04-03T15:53:11.069
32,1,fixation_start,112,2,1,2,,,left_hand,,,104939,109594,419.57948869999973,2026-04-03T15:53:11.069
33,1,baseline_start,110,2,1,2,,,left_hand,,,104940,109595,419.5795036000004,2026-04-03T15:53:11.069
34,1,baseline_end,111,2,1,2,,,left_hand,,,105461,110116,421.6639145000004,2026-04-03T15:53:13.153
35,1,cue_start,120,2,1,2,,,left_hand,,,105462,110117,421.6639817999999,2026-04-03T15:53:13.153
36,1,cue_left_hand,301,2,1,2,,,left_hand,,,105463,110118,421.6639957000002,2026-04-03T15:53:13.153
37,1,imagery_start,121,2,1,2,,,left_hand,,,105731,110386,422.7500780000005,2026-04-03T15:53:14.240
38,1,imagery_left_hand,311,2,1,2,,,left_hand,,,105732,110387,422.7501476000002,2026-04-03T15:53:14.240
39,1,imagery_end,320,2,1,2,,,left_hand,,,106749,111404,426.7987721000004,2026-04-03T15:53:18.289
40,1,iti_start,330,2,1,2,,,left_hand,,,106750,111405,426.7988325000001,2026-04-03T15:53:18.289
41,1,trial_end,210,2,1,2,,,left_hand,,,107258,111913,428.87826189999987,2026-04-03T15:53:20.368
42,1,trial_start,200,3,1,3,,,feet,,,107259,111914,428.87996200000043,2026-04-03T15:53:20.370
43,1,fixation_start,112,3,1,3,,,feet,,,107260,111915,428.8800124000004,2026-04-03T15:53:20.370
44,1,baseline_start,110,3,1,3,,,feet,,,107261,111916,428.8800336999998,2026-04-03T15:53:20.370
45,1,baseline_end,111,3,1,3,,,feet,,,107782,112437,430.95690930000046,2026-04-03T15:53:22.447
46,1,cue_start,120,3,1,3,,,feet,,,107783,112438,430.9569760999998,2026-04-03T15:53:22.447
47,1,cue_feet,303,3,1,3,,,feet,,,107784,112439,430.9569912000002,2026-04-03T15:53:22.447
48,1,imagery_start,121,3,1,3,,,feet,,,108051,112706,432.0490555000001,2026-04-03T15:53:23.539
49,1,imagery_feet,313,3,1,3,,,feet,,,108052,112707,432.0491241000004,2026-04-03T15:53:23.539
50,1,imagery_end,320,3,1,3,,,feet,,,109069,113724,436.0987220000002,2026-04-03T15:53:27.588
