event_index,save_index,event_name,marker_code,trial_id,mi_run_index,run_trial_index,block_index,prompt_index,class_name,command_duration_sec,execution_success,sample_index,absolute_sample_index,elapsed_sec,iso_time
0,1,session_start,100,,,,,,,,,0,855,0.002963199993246235,2026-04-04T12:18:34.470
1,1,mi_run_start,130,,1,,,,,,,28,883,0.020538999990094453,2026-04-04T12:18:34.491
2,1,trial_start,200,1,1,1,,,tongue,,,29,884,0.02062669998849742,2026-04-04T12:18:34.491
3,1,fixation_start,112,1,1,1,,,tongue,,,30,885,0.02064119999704417,2026-04-04T12:18:34.491
4,1,baseline_start,110,1,1,1,,,tongue,,,31,886,0.0206896999879973,2026-04-04T12:18:34.491
5,1,baseline_end,111,1,1,1,,,tongue,,,552,1407,2.0942719000013312,2026-04-04T12:18:36.565
6,1,cue_start,120,1,1,1,,,tongue,,,553,1408,2.0943217999883927,2026-04-04T12:18:36.565
7,1,cue_tongue,304,1,1,1,,,tongue,,,554,1409,2.094335099987802,2026-04-04T12:18:36.565
8,1,imagery_start,121,1,1,1,,,tongue,,,806,1661,3.188003099989146,2026-04-04T12:18:37.658
9,1,imagery_tongue,314,1,1,1,,,tongue,,,807,1662,3.1881179999909364,2026-04-04T12:18:37.658
10,1,imagery_end,320,1,1,1,,,tongue,,,1826,2681,7.242501799992169,2026-04-04T12:18:41.713
11,1,iti_start,330,1,1,1,,,tongue,,,1827,2682,7.242555599994375,2026-04-04T12:18:41.713
12,1,trial_end,210,1,1,1,,,tongue,,,2335,3190,9.31740999998874,2026-04-04T12:18:43.788
13,1,trial_start,200,2,1,2,,,feet,,,2336,3191,9.319026299999678,2026-04-04T12:18:43.789
14,1,fixation_start,112,2,1,2,,,feet,,,2337,3192,9.319051300000865,2026-04-04T12:18:43.789
15,1,baseline_start,110,2,1,2,,,feet,,,2338,3193,9.319062499998836,2026-04-04T12:18:43.789
16,1,baseline_end,111,2,1,2,,,feet,,,2872,3727,11.39562759999535,2026-04-04T12:18:45.866
17,1,cue_start,120,2,1,2,,,feet,,,2873,3728,11.395690899997135,2026-04-04T12:18:45.866
18,1,cue_feet,303,2,1,2,,,feet,,,2874,3729,11.39570389999426,2026-04-04T12:18:45.866
19,1,imagery_start,121,2,1,2,,,feet,,,3141,3996,12.48539339999843,2026-04-04T12:18:46.955
20,1,imagery_feet,313,2,1,2,,,feet,,,3142,3997,12.485454800000298,2026-04-04T12:18:46.955
21,1,imagery_end,320,2,1,2,,,feet,,,4159,5014,16.54657099999895,2026-04-04T12:18:51.017
22,1,iti_start,330,2,1,2,,,feet,,,4160,5015,16.546639899999718,2026-04-04T12:18:51.017
23,1,trial_end,210,2,1,2,,,feet,,,4414,5269,17.650098099999013,2026-04-04T12:18:52.120
24,1,mi_run_end,131,,1,,,,,,,4415,5270,17.65017129998887,2026-04-04T12:18:52.121
25,1,session_end,101,,,,,,,,,4416,5271,17.650190199987264,2026-04-04T12:18:52.121
