event_index,save_index,event_name,marker_code,trial_id,mi_run_index,run_trial_index,block_index,prompt_index,class_name,command_duration_sec,execution_success,sample_index,absolute_sample_index,elapsed_sec,iso_time
0,1,session_start,100,,,,,,,,,0,778,0.0021982000034768134,2026-04-04T12:11:32.680
1,1,mi_run_start,130,,1,,,,,,,1,779,0.010580800008028746,2026-04-04T12:11:32.691
2,1,trial_start,200,1,1,1,,,feet,,,2,780,0.010676600009901449,2026-04-04T12:11:32.691
3,1,fixation_start,112,1,1,1,,,feet,,,3,781,0.010692000010749325,2026-04-04T12:11:32.691
4,1,baseline_start,110,1,1,1,,,feet,,,4,782,0.010702700004912913,2026-04-04T12:11:32.691
5,1,baseline_end,111,1,1,1,,,feet,,,510,1288,2.089048100009677,2026-04-04T12:11:34.770
6,1,cue_start,120,1,1,1,,,feet,,,511,1289,2.089115500013577,2026-04-04T12:11:34.770
7,1,cue_feet,303,1,1,1,,,feet,,,512,1290,2.0891293000022415,2026-04-04T12:11:34.770
8,1,imagery_start,121,1,1,1,,,feet,,,793,1571,3.1900942000065697,2026-04-04T12:11:35.871
9,1,imagery_feet,313,1,1,1,,,feet,,,794,1572,3.1901600000128383,2026-04-04T12:11:35.871
10,1,imagery_end,320,1,1,1,,,feet,,,1183,1961,4.731846300011966,2026-04-04T12:11:37.413
11,1,trial_end,210,1,1,1,,,feet,,,1184,1962,4.731904600004782,2026-04-04T12:11:37.413
12,1,mi_run_end,131,,1,,,,,,,1185,1963,4.731925000000047,2026-04-04T12:11:37.413
13,1,session_end,101,,,,,,,,,1186,1964,4.731941400008509,2026-04-04T12:11:37.413
