event_index,save_index,event_name,marker_code,trial_id,mi_run_index,run_trial_index,block_index,prompt_index,class_name,command_duration_sec,execution_success,sample_index,absolute_sample_index,elapsed_sec,iso_time
0,1,session_start,100,,,,,,,,,0,1691,0.0029972999909659848,2026-04-04T12:07:04.763
1,1,mi_run_start,130,,1,,,,,,,1,1692,0.019645499996840954,2026-04-04T12:07:04.783
2,1,trial_start,200,1,1,1,,,tongue,,,2,1693,0.02000439999392256,2026-04-04T12:07:04.783
3,1,fixation_start,112,1,1,1,,,tongue,,,3,1694,0.020021099990117364,2026-04-04T12:07:04.783
4,1,baseline_start,110,1,1,1,,,tongue,,,4,1695,0.020032000000355765,2026-04-04T12:07:04.783
5,1,baseline_end,111,1,1,1,,,tongue,,,524,2215,2.1065079999971204,2026-04-04T12:07:06.870
6,1,cue_start,120,1,1,1,,,tongue,,,525,2216,2.1065658000006806,2026-04-04T12:07:06.870
7,1,cue_tongue,304,1,1,1,,,tongue,,,526,2217,2.10657910000009,2026-04-04T12:07:06.870
8,1,imagery_start,121,1,1,1,,,tongue,,,793,2484,3.1986232999915956,2026-04-04T12:07:07.962
9,1,imagery_tongue,314,1,1,1,,,tongue,,,794,2485,3.1986805999913486,2026-04-04T12:07:07.962
10,1,imagery_end,320,1,1,1,,,tongue,,,1811,3502,7.246823099994799,2026-04-04T12:07:12.010
11,1,iti_start,330,1,1,1,,,tongue,,,1812,3503,7.246870299990405,2026-04-04T12:07:12.010
12,1,trial_end,210,1,1,1,,,tongue,,,2335,4026,9.33281399999396,2026-04-04T12:07:14.096
13,1,trial_start,200,2,1,2,,,left_hand,,,2336,4027,9.33846210000047,2026-04-04T12:07:14.102
14,1,fixation_start,112,2,1,2,,,left_hand,,,2337,4028,9.338510000001406,2026-04-04T12:07:14.102
15,1,baseline_start,110,2,1,2,,,left_hand,,,2338,4029,9.338534299997264,2026-04-04T12:07:14.102
16,1,baseline_end,111,2,1,2,,,left_hand,,,2814,4505,11.411458299990045,2026-04-04T12:07:16.175
17,1,cue_start,120,2,1,2,,,left_hand,,,2815,4506,11.411537599997246,2026-04-04T12:07:16.175
18,1,cue_left_hand,301,2,1,2,,,left_hand,,,2816,4507,11.41155209999124,2026-04-04T12:07:16.175
19,1,imagery_start,121,2,1,2,,,left_hand,,,3114,4805,12.51091749999614,2026-04-04T12:07:17.274
20,1,imagery_left_hand,311,2,1,2,,,left_hand,,,3115,4806,12.511083299992606,2026-04-04T12:07:17.274
21,1,imagery_end,320,2,1,2,,,left_hand,,,3219,4910,12.879892299999483,2026-04-04T12:07:17.643
22,1,trial_end,210,2,1,2,,,left_hand,,,3220,4911,12.879937099991366,2026-04-04T12:07:17.643
23,1,mi_run_end,131,,1,,,,,,,3221,4912,12.879960699996445,2026-04-04T12:07:17.643
24,1,session_end,101,,,,,,,,,3222,4913,12.879978400000255,2026-04-04T12:07:17.643
