event_index,event_name,marker_code,trial_id,class_name,sample_index,absolute_sample_index,elapsed_sec,iso_time
0,session_start,100,,,0,2149,0.0015038999990792945,2026-03-29T21:32:19.725
1,trial_start,200,1,tongue,1,2150,0.0016074999984994065,2026-03-29T21:32:19.726
2,baseline_start,110,1,tongue,2,2151,0.0016458999998576473,2026-03-29T21:32:19.726
3,baseline_end,111,1,tongue,1009,3158,4.039095199997973,2026-03-29T21:32:23.763
4,cue_tongue,304,1,tongue,1010,3159,4.039236599997821,2026-03-29T21:32:23.763
5,imagery_tongue,314,1,tongue,1384,3533,5.576510899998539,2026-03-29T21:32:25.300
6,imagery_end,320,1,tongue,2404,4553,9.626401499997883,2026-03-29T21:32:29.350
7,iti_start,330,1,tongue,2405,4554,9.626526999996713,2026-03-29T21:32:29.351
8,trial_end,210,1,tongue,2925,5074,11.70403759999681,2026-03-29T21:32:31.428
9,trial_start,200,2,feet,2926,5075,11.704289899997093,2026-03-29T21:32:31.428
10,baseline_start,110,2,feet,2927,5076,11.704335799997352,2026-03-29T21:32:31.428
11,baseline_end,111,2,feet,3937,6086,15.762102400000003,2026-03-29T21:32:35.486
12,cue_feet,303,2,feet,3938,6087,15.762203499998577,2026-03-29T21:32:35.486
13,imagery_feet,313,2,feet,4317,6466,17.288723499998014,2026-03-29T21:32:37.013
14,imagery_end,320,2,feet,5334,7483,21.336980599997332,2026-03-29T21:32:41.061
15,iti_start,330,2,feet,5335,7484,21.337098899999546,2026-03-29T21:32:41.061
16,trial_end,210,2,feet,5850,7999,23.414565199997014,2026-03-29T21:32:43.139
17,trial_start,200,3,right_hand,5851,8000,23.41486089999671,2026-03-29T21:32:43.139
18,baseline_start,110,3,right_hand,5852,8001,23.414929899998242,2026-03-29T21:32:43.139
19,baseline_end,111,3,right_hand,6866,9015,27.468858099997306,2026-03-29T21:32:47.193
20,cue_right_hand,302,3,right_hand,6867,9016,27.468962299997656,2026-03-29T21:32:47.193
21,imagery_right_hand,312,3,right_hand,7251,9400,28.998771699996723,2026-03-29T21:32:48.723
22,imagery_end,320,3,right_hand,8256,10405,33.04326079999737,2026-03-29T21:32:52.767
23,iti_start,330,3,right_hand,8257,10406,33.04340649999722,2026-03-29T21:32:52.767
24,trial_end,210,3,right_hand,8778,10927,35.1224586999997,2026-03-29T21:32:54.846
25,trial_start,200,4,left_hand,8779,10928,35.122717099999136,2026-03-29T21:32:54.847
26,baseline_start,110,4,left_hand,8780,10929,35.12277379999796,2026-03-29T21:32:54.847
27,baseline_end,111,4,left_hand,9790,11939,39.16186319999906,2026-03-29T21:32:58.886
28,cue_left_hand,301,4,left_hand,9791,11940,39.16203349999705,2026-03-29T21:32:58.886
29,imagery_left_hand,311,4,left_hand,10171,12320,40.6996024,2026-03-29T21:33:00.424
30,imagery_end,320,4,left_hand,11189,13338,44.76376009999876,2026-03-29T21:33:04.488
31,iti_start,330,4,left_hand,11190,13339,44.763905499999964,2026-03-29T21:33:04.488
32,trial_end,210,4,left_hand,11712,13861,46.83864360000007,2026-03-29T21:33:06.563
33,trial_start,200,5,tongue,11713,13862,46.838895899996714,2026-03-29T21:33:06.563
34,baseline_start,110,5,tongue,11714,13863,46.83894229999714,2026-03-29T21:33:06.563
35,baseline_end,111,5,tongue,12719,14868,50.88857879999705,2026-03-29T21:33:10.613
36,cue_tongue,304,5,tongue,12720,14869,50.88869599999816,2026-03-29T21:33:10.613
37,imagery_tongue,314,5,tongue,13101,15250,52.410950099998445,2026-03-29T21:33:12.135
38,imagery_end,320,5,tongue,14110,16259,56.463360799996735,2026-03-29T21:33:16.187
39,iti_start,330,5,tongue,14111,16260,56.46354049999718,2026-03-29T21:33:16.188
40,trial_end,210,5,tongue,14634,16783,58.54527379999854,2026-03-29T21:33:18.269
41,trial_start,200,6,feet,14635,16784,58.54553479999959,2026-03-29T21:33:18.270
42,baseline_start,110,6,feet,14636,16785,58.54558769999858,2026-03-29T21:33:18.270
43,baseline_end,111,6,feet,15649,17798,62.60846749999837,2026-03-29T21:33:22.332
44,cue_feet,303,6,feet,15650,17799,62.608599799998046,2026-03-29T21:33:22.333
45,imagery_feet,313,6,feet,16029,18178,64.13344209999923,2026-03-29T21:33:23.857
46,imagery_end,320,6,feet,17042,19191,68.17638859999715,2026-03-29T21:33:27.900
47,iti_start,330,6,feet,17043,19192,68.17654989999937,2026-03-29T21:33:27.901
48,trial_end,210,6,feet,17566,19715,70.267928199999,2026-03-29T21:33:29.992
49,trial_start,200,7,left_hand,17567,19716,70.26817619999929,2026-03-29T21:33:29.992
50,baseline_start,110,7,left_hand,17568,19717,70.26821589999963,2026-03-29T21:33:29.992
51,baseline_end,111,7,left_hand,18573,20722,74.31070929999987,2026-03-29T21:33:34.035
52,cue_left_hand,301,7,left_hand,18574,20723,74.31081669999912,2026-03-29T21:33:34.035
53,imagery_left_hand,311,7,left_hand,18958,21107,75.85509779999848,2026-03-29T21:33:35.579
54,imagery_end,320,7,left_hand,19976,22125,79.90636019999874,2026-03-29T21:33:39.630
55,iti_start,330,7,left_hand,19977,22126,79.90651749999961,2026-03-29T21:33:39.630
56,trial_end,210,7,left_hand,20488,22637,81.9731869999996,2026-03-29T21:33:41.697
57,trial_start,200,8,right_hand,20489,22638,81.97341029999734,2026-03-29T21:33:41.697
58,baseline_start,110,8,right_hand,20490,22639,81.97344969999904,2026-03-29T21:33:41.697
59,baseline_end,111,8,right_hand,21504,23653,86.02317659999972,2026-03-29T21:33:45.747
60,cue_right_hand,302,8,right_hand,21505,23654,86.02329819999795,2026-03-29T21:33:45.747
61,imagery_right_hand,312,8,right_hand,21892,24041,87.56242959999872,2026-03-29T21:33:47.286
62,imagery_end,320,8,right_hand,22897,25046,91.6056138999993,2026-03-29T21:33:51.330
63,iti_start,330,8,right_hand,22898,25047,91.60572899999897,2026-03-29T21:33:51.330
64,trial_end,210,8,right_hand,23418,25567,93.67836220000027,2026-03-29T21:33:53.402
65,trial_start,200,9,left_hand,23419,25568,93.67863219999708,2026-03-29T21:33:53.403
66,baseline_start,110,9,left_hand,23420,25569,93.67868199999793,2026-03-29T21:33:53.403
67,baseline_end,111,9,left_hand,24437,26586,97.7404209999986,2026-03-29T21:33:57.464
68,cue_left_hand,301,9,left_hand,24438,26587,97.74054239999896,2026-03-29T21:33:57.465
69,imagery_left_hand,311,9,left_hand,24812,26961,99.2818202999988,2026-03-29T21:33:59.006
70,imagery_end,320,9,left_hand,25829,27978,103.32071339999675,2026-03-29T21:34:03.045
71,iti_start,330,9,left_hand,25830,27979,103.32083919999786,2026-03-29T21:34:03.045
72,trial_end,210,9,left_hand,26353,28502,105.3999754999968,2026-03-29T21:34:05.124
73,trial_start,200,10,tongue,26354,28503,105.40021649999835,2026-03-29T21:34:05.124
74,baseline_start,110,10,tongue,26355,28504,105.40025669999886,2026-03-29T21:34:05.124
75,baseline_end,111,10,tongue,27362,29511,109.45644959999845,2026-03-29T21:34:09.180
76,cue_tongue,304,10,tongue,27363,29512,109.45655839999745,2026-03-29T21:34:09.181
77,imagery_tongue,314,10,tongue,27745,29894,110.9966233999985,2026-03-29T21:34:10.721
78,imagery_end,320,10,tongue,28763,30912,115.04587369999717,2026-03-29T21:34:14.770
79,iti_start,330,10,tongue,28764,30913,115.04597799999829,2026-03-29T21:34:14.770
80,trial_end,210,10,tongue,29280,31429,117.14292459999706,2026-03-29T21:34:16.867
81,trial_start,200,11,feet,29281,31430,117.1431722999987,2026-03-29T21:34:16.867
82,baseline_start,110,11,feet,29282,31431,117.14320849999785,2026-03-29T21:34:16.867
83,baseline_end,111,11,feet,30290,32439,121.1776710999984,2026-03-29T21:34:20.902
84,cue_feet,303,11,feet,30291,32440,121.1777740999969,2026-03-29T21:34:20.902
85,imagery_feet,313,11,feet,30679,32828,122.71993539999676,2026-03-29T21:34:22.444
86,imagery_end,320,11,feet,31692,33841,126.76588369999808,2026-03-29T21:34:26.490
87,iti_start,330,11,feet,31693,33842,126.7659797999986,2026-03-29T21:34:26.490
88,trial_end,210,11,feet,32206,34355,128.83977609999783,2026-03-29T21:34:28.564
89,trial_start,200,12,right_hand,32207,34356,128.84006319999753,2026-03-29T21:34:28.564
90,baseline_start,110,12,right_hand,32208,34357,128.84011299999838,2026-03-29T21:34:28.564
91,baseline_end,111,12,right_hand,33221,35370,132.89369609999994,2026-03-29T21:34:32.618
92,cue_right_hand,302,12,right_hand,33222,35371,132.89388119999785,2026-03-29T21:34:32.618
93,imagery_right_hand,312,12,right_hand,33609,35758,134.43068239999775,2026-03-29T21:34:34.155
94,imagery_end,320,12,right_hand,34616,36765,138.47301749999679,2026-03-29T21:34:38.197
95,iti_start,330,12,right_hand,34617,36766,138.47312739999688,2026-03-29T21:34:38.197
96,trial_end,210,12,right_hand,35140,37289,140.5637233999987,2026-03-29T21:34:40.288
97,trial_start,200,13,feet,35141,37290,140.56398160000026,2026-03-29T21:34:40.288
98,baseline_start,110,13,feet,35142,37291,140.56402739999976,2026-03-29T21:34:40.288
99,baseline_end,111,13,feet,36155,38304,144.61281729999973,2026-03-29T21:34:44.337
100,cue_feet,303,13,feet,36156,38305,144.6129626999973,2026-03-29T21:34:44.337
101,imagery_feet,313,13,feet,36535,38684,146.14695070000016,2026-03-29T21:34:45.871
102,imagery_end,320,13,feet,37550,39699,150.20590629999788,2026-03-29T21:34:49.930
103,iti_start,330,13,feet,37551,39700,150.20606209999823,2026-03-29T21:34:49.930
104,trial_end,210,13,feet,38071,40220,152.29287249999834,2026-03-29T21:34:52.017
105,trial_start,200,14,tongue,38072,40221,152.29311159999997,2026-03-29T21:34:52.017
106,baseline_start,110,14,tongue,38073,40222,152.29315569999744,2026-03-29T21:34:52.017
107,baseline_end,111,14,tongue,39083,41232,156.33520639999915,2026-03-29T21:34:56.059
108,cue_tongue,304,14,tongue,39084,41233,156.33534729999883,2026-03-29T21:34:56.059
109,imagery_tongue,314,14,tongue,39466,41615,157.8722232,2026-03-29T21:34:57.596
110,imagery_end,320,14,tongue,40478,42627,161.92330319999746,2026-03-29T21:35:01.647
111,iti_start,330,14,tongue,40479,42628,161.92346149999867,2026-03-29T21:35:01.647
112,trial_end,210,14,tongue,40999,43148,163.99423279999974,2026-03-29T21:35:03.718
113,trial_start,200,15,left_hand,41000,43149,163.99455129999842,2026-03-29T21:35:03.719
114,baseline_start,110,15,left_hand,41001,43150,163.99465159999818,2026-03-29T21:35:03.719
115,baseline_end,111,15,left_hand,42011,44160,168.0489940999978,2026-03-29T21:35:07.773
116,cue_left_hand,301,15,left_hand,42012,44161,168.04910579999705,2026-03-29T21:35:07.773
117,pause,950,15,left_hand,42325,44474,169.3184067000002,2026-03-29T21:35:09.042
118,resume,951,15,left_hand,64814,66963,259.253184899997,2026-03-29T21:36:38.977
119,imagery_left_hand,311,15,left_hand,64872,67021,259.48562010000023,2026-03-29T21:36:39.210
120,imagery_end,320,15,left_hand,65882,68031,263.53258469999855,2026-03-29T21:36:43.257
121,iti_start,330,15,left_hand,65883,68032,263.53270829999747,2026-03-29T21:36:43.257
122,trial_end,210,15,left_hand,66398,68547,265.60161589999916,2026-03-29T21:36:45.326
123,trial_start,200,16,right_hand,66399,68548,265.6018761999985,2026-03-29T21:36:45.326
124,baseline_start,110,16,right_hand,66400,68549,265.6019215999986,2026-03-29T21:36:45.326
125,baseline_end,111,16,right_hand,67415,69564,269.6470343000001,2026-03-29T21:36:49.371
126,cue_right_hand,302,16,right_hand,67416,69565,269.6471683999989,2026-03-29T21:36:49.371
127,imagery_right_hand,312,16,right_hand,67798,69947,271.1930194999986,2026-03-29T21:36:50.917
128,imagery_end,320,16,right_hand,68807,70956,275.23857599999974,2026-03-29T21:36:54.963
129,iti_start,330,16,right_hand,68808,70957,275.23873660000027,2026-03-29T21:36:54.963
130,trial_end,210,16,right_hand,69330,71479,277.32102889999805,2026-03-29T21:36:57.045
131,trial_start,200,17,feet,69331,71480,277.3212848999974,2026-03-29T21:36:57.045
132,baseline_start,110,17,feet,69332,71481,277.3213311999971,2026-03-29T21:36:57.045
133,baseline_end,111,17,feet,70347,72496,281.3761255999998,2026-03-29T21:37:01.100
134,cue_feet,303,17,feet,70348,72497,281.37623109999913,2026-03-29T21:37:01.100
135,imagery_feet,313,17,feet,70723,72872,282.90017239999725,2026-03-29T21:37:02.624
136,imagery_end,320,17,feet,71739,73888,286.9566257999977,2026-03-29T21:37:06.681
137,iti_start,330,17,feet,71740,73889,286.9567673999991,2026-03-29T21:37:06.681
138,trial_end,210,17,feet,72265,74414,289.04860049999843,2026-03-29T21:37:08.773
139,trial_start,200,18,tongue,72266,74415,289.0488667999998,2026-03-29T21:37:08.773
140,baseline_start,110,18,tongue,72267,74416,289.0489061999979,2026-03-29T21:37:08.773
141,baseline_end,111,18,tongue,73272,75421,293.0917656999991,2026-03-29T21:37:12.816
142,cue_tongue,304,18,tongue,73273,75422,293.09192279999843,2026-03-29T21:37:12.816
143,imagery_tongue,314,18,tongue,73656,75805,294.62038389999725,2026-03-29T21:37:14.344
144,imagery_end,320,18,tongue,74669,76818,298.66609600000083,2026-03-29T21:37:18.390
145,iti_start,330,18,tongue,74670,76819,298.66620259999763,2026-03-29T21:37:18.390
146,trial_end,210,18,tongue,75185,77334,300.74605169999995,2026-03-29T21:37:20.470
147,trial_start,200,19,left_hand,75186,77335,300.74630819999584,2026-03-29T21:37:20.470
148,baseline_start,110,19,left_hand,75187,77336,300.74635529999796,2026-03-29T21:37:20.470
149,baseline_end,111,19,left_hand,76190,78339,304.7876860999968,2026-03-29T21:37:24.512
150,cue_left_hand,301,19,left_hand,76191,78340,304.78782610000053,2026-03-29T21:37:24.512
151,imagery_left_hand,311,19,left_hand,76576,78725,306.3186413000003,2026-03-29T21:37:26.043
152,imagery_end,320,19,left_hand,77594,79743,310.36927119999746,2026-03-29T21:37:30.093
153,iti_start,330,19,left_hand,77595,79744,310.36939410000195,2026-03-29T21:37:30.093
154,trial_end,210,19,left_hand,78114,80263,312.45006529999955,2026-03-29T21:37:32.174
155,trial_start,200,20,right_hand,78115,80264,312.4503007999956,2026-03-29T21:37:32.174
156,baseline_start,110,20,right_hand,78116,80265,312.4503448999967,2026-03-29T21:37:32.174
157,baseline_end,111,20,right_hand,79121,81270,316.48938339999586,2026-03-29T21:37:36.213
158,cue_right_hand,302,20,right_hand,79122,81271,316.4894882000008,2026-03-29T21:37:36.213
159,imagery_right_hand,312,20,right_hand,79506,81655,318.03440849999606,2026-03-29T21:37:37.758
160,imagery_end,320,20,right_hand,80525,82674,322.0975394999987,2026-03-29T21:37:41.822
161,iti_start,330,20,right_hand,80526,82675,322.0976825999969,2026-03-29T21:37:41.822
162,trial_end,210,20,right_hand,81046,83195,324.1864891000005,2026-03-29T21:37:43.910
163,session_end,101,,,81047,83196,324.186747300002,2026-03-29T21:37:43.911
