saved_at,schema_version,subject_id,session_id,save_index,run_stem,trials_per_class,mi_run_count,trials_per_run,trial_count,accepted_trial_count,rejected_trial_count,sampling_rate_hz,channel_names,class_names,board_data_npy,board_map_json,mi_epochs_npz,mi_epochs_meta_json,gate_epochs_npz,gate_epochs_meta_json,artifact_epochs_npz,artifact_epochs_meta_json,continuous_npz,continuous_meta_json,session_raw_fif,events_csv,trials_csv,segments_csv,session_meta_json,quality_report_json
2026-04-03T13:31:12,2,COM4TEST,connection_save_test,1,sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001,1,1,4,1,1,0,250.0,"C3,Cz,C4,PO3,PO4,O1,Oz,O2","left_hand,right_hand,feet,tongue",sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_board_data.npy,sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_board_map.json,sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_mi_epochs.npz,sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_mi_epochs.meta.json,sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_gate_epochs.npz,sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_gate_epochs.meta.json,sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_artifact_epochs.npz,sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_artifact_epochs.meta.json,sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_continuous.npz,sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_continuous.meta.json,sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_raw.fif,sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_events.csv,sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_trials.csv,sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_segments.csv,sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_session_meta.json,sub-COM4TEST/ses-connection_save_test/sub-COM4TEST_ses-connection_save_test_run-001_tpc-01_n-001_ok-001_quality_report.json
2026-04-03T15:54:46,2,001,20260403_154515,1,sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011,10,3,40,12,11,1,250.0,"C3,Cz,C4,PO3,PO4,O1,Oz,O2","left_hand,right_hand,feet,tongue",sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_board_data.npy,sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_board_map.json,sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_mi_epochs.npz,sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_mi_epochs.meta.json,sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_gate_epochs.npz,sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_gate_epochs.meta.json,sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_artifact_epochs.npz,sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_artifact_epochs.meta.json,sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_continuous.npz,sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_continuous.meta.json,sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_raw.fif,sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_events.csv,sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_trials.csv,sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_segments.csv,sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_session_meta.json,sub-001/ses-20260403_154515/sub-001_ses-20260403_154515_run-001_tpc-10_n-012_ok-011_quality_report.json
2026-04-04T11:37:44,2,001,20260404_113538,1,sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000,10,3,40,0,0,0,250.0,"C3,Cz,C4,PO3,PO4,O1,Oz,O2","left_hand,right_hand,feet,tongue",sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_board_data.npy,sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_board_map.json,sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_mi_epochs.npz,sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_mi_epochs.meta.json,sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_gate_epochs.npz,sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_gate_epochs.meta.json,sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_artifact_epochs.npz,sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_artifact_epochs.meta.json,sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_continuous.npz,sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_continuous.meta.json,sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_raw.fif,sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_events.csv,sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_trials.csv,sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_segments.csv,sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_session_meta.json,sub-001/ses-20260404_113538/sub-001_ses-20260404_113538_run-001_tpc-10_n-000_ok-000_quality_report.json
