event_index,save_index,event_name,marker_code,trial_id,mi_run_index,run_trial_index,block_index,prompt_index,class_name,command_duration_sec,execution_success,sample_index,absolute_sample_index,elapsed_sec,iso_time
0,1,session_start,100,,,,,,,,,0,17228,0.0026554000069154426,2026-04-04T12:48:06.789
1,1,mi_run_start,130,,1,,,,,,,15,17243,0.02036969999608118,2026-04-04T12:48:06.811
2,1,trial_start,200,1,1,1,,,tongue,,,16,17244,0.020468700007768348,2026-04-04T12:48:06.811
3,1,fixation_start,112,1,1,1,,,tongue,,,17,17245,0.02048310000100173,2026-04-04T12:48:06.811
4,1,baseline_start,110,1,1,1,,,tongue,,,18,17246,0.020494299998972565,2026-04-04T12:48:06.811
5,1,baseline_end,111,1,1,1,,,tongue,,,524,17752,2.104576600002474,2026-04-04T12:48:08.895
6,1,cue_start,120,1,1,1,,,tongue,,,525,17753,2.1046461000078125,2026-04-04T12:48:08.895
7,1,cue_tongue,304,1,1,1,,,tongue,,,526,17754,2.1046597999957157,2026-04-04T12:48:08.895
8,1,imagery_start,121,1,1,1,,,tongue,,,1048,18276,4.182728800005862,2026-04-04T12:48:10.973
9,1,imagery_tongue,314,1,1,1,,,tongue,,,1049,18277,4.182767699996475,2026-04-04T12:48:10.973
10,1,imagery_end,320,1,1,1,,,tongue,,,2066,19294,8.235823700000765,2026-04-04T12:48:15.027
11,1,iti_start,330,1,1,1,,,tongue,,,2067,19295,8.235888900002465,2026-04-04T12:48:15.027
12,1,trial_end,210,1,1,1,,,tongue,,,2590,19818,10.31134369999927,2026-04-04T12:48:17.102
13,1,trial_start,200,2,1,2,,,feet,,,2591,19819,10.313078599996516,2026-04-04T12:48:17.104
14,1,fixation_start,112,2,1,2,,,feet,,,2592,19820,10.313099299994064,2026-04-04T12:48:17.104
15,1,baseline_start,110,2,1,2,,,feet,,,2593,19821,10.313110400005826,2026-04-04T12:48:17.104
16,1,baseline_end,111,2,1,2,,,feet,,,3099,20327,12.39684240000497,2026-04-04T12:48:19.187
17,1,cue_start,120,2,1,2,,,feet,,,3100,20328,12.39690010000777,2026-04-04T12:48:19.187
18,1,cue_feet,303,2,1,2,,,feet,,,3101,20329,12.39691280000261,2026-04-04T12:48:19.187
19,1,imagery_start,121,2,1,2,,,feet,,,3623,20851,14.471434299994144,2026-04-04T12:48:21.262
20,1,imagery_feet,313,2,1,2,,,feet,,,3624,20852,14.471500300001935,2026-04-04T12:48:21.262
21,1,imagery_end,320,2,1,2,,,feet,,,4641,21869,18.520616299996618,2026-04-04T12:48:25.311
22,1,iti_start,330,2,1,2,,,feet,,,4642,21870,18.520674500003224,2026-04-04T12:48:25.311
23,1,trial_end,210,2,1,2,,,feet,,,5150,22378,20.597192500004894,2026-04-04T12:48:27.388
24,1,trial_start,200,3,1,3,,,left_hand,,,5151,22379,20.598860199999763,2026-04-04T12:48:27.389
25,1,fixation_start,112,3,1,3,,,left_hand,,,5152,22380,20.598886299994774,2026-04-04T12:48:27.389
26,1,baseline_start,110,3,1,3,,,left_hand,,,5153,22381,20.598897999996552,2026-04-04T12:48:27.389
27,1,baseline_end,111,3,1,3,,,left_hand,,,5674,22902,22.687101000003167,2026-04-04T12:48:29.477
28,1,cue_start,120,3,1,3,,,left_hand,,,5675,22903,22.68716190000123,2026-04-04T12:48:29.477
29,1,cue_left_hand,301,3,1,3,,,left_hand,,,5676,22904,22.687174999999115,2026-04-04T12:48:29.477
30,1,imagery_start,121,3,1,3,,,left_hand,,,6198,23426,24.758727699998417,2026-04-04T12:48:31.549
31,1,imagery_left_hand,311,3,1,3,,,left_hand,,,6199,23427,24.758784599995124,2026-04-04T12:48:31.549
32,1,imagery_end,320,3,1,3,,,left_hand,,,7201,24429,28.804380300003686,2026-04-04T12:48:35.595
33,1,iti_start,330,3,1,3,,,left_hand,,,7202,24430,28.804447799993795,2026-04-04T12:48:35.595
34,1,trial_end,210,3,1,3,,,left_hand,,,7725,24953,30.88466939999489,2026-04-04T12:48:37.675
35,1,trial_start,200,4,1,4,,,right_hand,,,7726,24954,30.886291300004814,2026-04-04T12:48:37.676
36,1,fixation_start,112,4,1,4,,,right_hand,,,7727,24955,30.88631549999991,2026-04-04T12:48:37.676
37,1,baseline_start,110,4,1,4,,,right_hand,,,7728,24956,30.886326299994835,2026-04-04T12:48:37.676
38,1,baseline_end,111,4,1,4,,,right_hand,,,8249,25477,32.96134360000724,2026-04-04T12:48:39.751
39,1,cue_start,120,4,1,4,,,right_hand,,,8250,25478,32.96140169999853,2026-04-04T12:48:39.751
40,1,cue_right_hand,302,4,1,4,,,right_hand,,,8251,25479,32.96141540000099,2026-04-04T12:48:39.751
41,1,imagery_start,121,4,1,4,,,right_hand,,,8773,26001,35.042227099998854,2026-04-04T12:48:41.833
42,1,imagery_right_hand,312,4,1,4,,,right_hand,,,8774,26002,35.04228809999768,2026-04-04T12:48:41.833
43,1,imagery_end,320,4,1,4,,,right_hand,,,9791,27019,39.1123496999935,2026-04-04T12:48:45.903
44,1,iti_start,330,4,1,4,,,right_hand,,,9792,27020,39.11241529999825,2026-04-04T12:48:45.903
45,1,trial_end,210,4,1,4,,,right_hand,,,10300,27528,41.18733939999947,2026-04-04T12:48:47.978
46,1,trial_start,200,5,1,5,,,feet,,,10301,27529,41.18907530000433,2026-04-04T12:48:47.979
47,1,fixation_start,112,5,1,5,,,feet,,,10302,27530,41.18910529999994,2026-04-04T12:48:47.979
48,1,baseline_start,110,5,1,5,,,feet,,,10303,27531,41.189117600006284,2026-04-04T12:48:47.979
49,1,baseline_end,111,5,1,5,,,feet,,,10824,28052,43.261009099995135,2026-04-04T12:48:50.052
