event_index,event_name,marker_code,trial_id,class_name,sample_index,absolute_sample_index,elapsed_sec,iso_time
0,session_start,100,,,0,566,0.001514899999165209,2026-03-29T21:18:49.267
1,trial_start,200,1,right_hand,1,567,0.0016445999972347636,2026-03-29T21:18:49.267
2,baseline_start,110,1,right_hand,2,568,0.0016882999989320524,2026-03-29T21:18:49.267
3,baseline_end,111,1,right_hand,1005,1571,4.050839499999711,2026-03-29T21:18:53.316
4,cue_right_hand,302,1,right_hand,1006,1572,4.050976099999389,2026-03-29T21:18:53.316
5,imagery_right_hand,312,1,right_hand,1769,2335,7.112567799998942,2026-03-29T21:18:56.378
6,imagery_end,320,1,right_hand,3281,3847,13.13178759999937,2026-03-29T21:19:02.397
7,iti_start,330,1,right_hand,3282,3848,13.131914599998709,2026-03-29T21:19:02.397
8,trial_end,210,1,right_hand,3661,4227,14.658019099999365,2026-03-29T21:19:03.923
9,trial_start,200,2,left_hand,3662,4228,14.658349199999066,2026-03-29T21:19:03.923
10,baseline_start,110,2,left_hand,3663,4229,14.658420899999328,2026-03-29T21:19:03.923
11,baseline_end,111,2,left_hand,4671,5237,18.709040800000366,2026-03-29T21:19:07.974
12,cue_left_hand,301,2,left_hand,4672,5238,18.709188999997423,2026-03-29T21:19:07.974
13,imagery_left_hand,311,2,left_hand,5441,6007,21.774756499999057,2026-03-29T21:19:11.040
14,imagery_end,320,2,left_hand,6935,7501,27.79606199999762,2026-03-29T21:19:17.061
15,iti_start,330,2,left_hand,6936,7502,27.796195699997043,2026-03-29T21:19:17.061
16,trial_end,210,2,left_hand,7323,7889,29.322997100000066,2026-03-29T21:19:18.588
17,trial_start,200,3,feet,7324,7890,29.323273699999845,2026-03-29T21:19:18.588
18,baseline_start,110,3,feet,7325,7891,29.323323299999174,2026-03-29T21:19:18.588
19,baseline_end,111,3,feet,8340,8906,33.38328189999811,2026-03-29T21:19:22.648
20,cue_feet,303,3,feet,8341,8907,33.3833902999977,2026-03-29T21:19:22.648
21,imagery_feet,313,3,feet,9104,9670,36.44249899999704,2026-03-29T21:19:25.708
22,imagery_end,320,3,feet,10608,11174,42.46845459999895,2026-03-29T21:19:31.733
23,iti_start,330,3,feet,10609,11175,42.468578699998034,2026-03-29T21:19:31.734
24,trial_end,210,3,feet,10999,11565,44.00672180000038,2026-03-29T21:19:33.272
25,trial_start,200,4,tongue,11000,11566,44.006939999999304,2026-03-29T21:19:33.272
26,baseline_start,110,4,tongue,11001,11567,44.007016999999905,2026-03-29T21:19:33.272
27,baseline_end,111,4,tongue,12007,12573,48.06388369999695,2026-03-29T21:19:37.329
28,cue_tongue,304,4,tongue,12008,12574,48.063991999999416,2026-03-29T21:19:37.329
29,imagery_tongue,314,4,tongue,12772,13338,51.123488199998974,2026-03-29T21:19:40.389
30,imagery_end,320,4,tongue,14283,14849,57.159045599997626,2026-03-29T21:19:46.424
31,iti_start,330,4,tongue,14284,14850,57.15919519999807,2026-03-29T21:19:46.424
32,trial_end,210,4,tongue,14666,15232,58.686798399998224,2026-03-29T21:19:47.952
33,trial_start,200,5,feet,14667,15233,58.6871100999997,2026-03-29T21:19:47.952
34,baseline_start,110,5,feet,14668,15234,58.68718129999979,2026-03-29T21:19:47.952
35,baseline_end,111,5,feet,15676,16242,62.73709769999914,2026-03-29T21:19:52.002
36,cue_feet,303,5,feet,15677,16243,62.73722959999941,2026-03-29T21:19:52.002
37,imagery_feet,313,5,feet,16445,17011,65.80425850000029,2026-03-29T21:19:55.069
38,imagery_end,320,5,feet,17941,18507,71.81611429999975,2026-03-29T21:20:01.081
39,iti_start,330,5,feet,17942,18508,71.81624639999791,2026-03-29T21:20:01.081
40,trial_end,210,5,feet,18324,18890,73.3405645999992,2026-03-29T21:20:02.606
41,trial_start,200,6,left_hand,18325,18891,73.34086739999839,2026-03-29T21:20:02.606
42,baseline_start,110,6,left_hand,18326,18892,73.34093059999941,2026-03-29T21:20:02.606
43,baseline_end,111,6,left_hand,19343,19909,77.39676920000056,2026-03-29T21:20:06.662
44,cue_left_hand,301,6,left_hand,19344,19910,77.39688960000058,2026-03-29T21:20:06.662
45,imagery_left_hand,311,6,left_hand,20104,20670,80.45952050000051,2026-03-29T21:20:09.725
46,imagery_end,320,6,left_hand,21604,22170,86.4723183999995,2026-03-29T21:20:15.737
47,iti_start,330,6,left_hand,21605,22171,86.47243879999951,2026-03-29T21:20:15.737
48,trial_end,210,6,left_hand,21981,22547,87.99472849999802,2026-03-29T21:20:17.260
49,trial_start,200,7,tongue,21982,22548,87.99495519999982,2026-03-29T21:20:17.260
50,baseline_start,110,7,tongue,21983,22549,87.9949932999989,2026-03-29T21:20:17.260
51,baseline_end,111,7,tongue,22981,23547,92.04499809999834,2026-03-29T21:20:21.310
52,cue_tongue,304,7,tongue,22982,23548,92.04514749999726,2026-03-29T21:20:21.310
53,imagery_tongue,314,7,tongue,23767,24333,95.1135824999983,2026-03-29T21:20:24.379
54,imagery_end,320,7,tongue,25279,25845,101.14427819999764,2026-03-29T21:20:30.409
55,iti_start,330,7,tongue,25280,25846,101.14446849999877,2026-03-29T21:20:30.409
56,trial_end,210,7,tongue,25660,26226,102.66922989999875,2026-03-29T21:20:31.934
57,trial_start,200,8,right_hand,25661,26227,102.66953319999811,2026-03-29T21:20:31.935
58,baseline_start,110,8,right_hand,25662,26228,102.66965929999787,2026-03-29T21:20:31.935
59,baseline_end,111,8,right_hand,26668,27234,106.71424299999853,2026-03-29T21:20:35.979
60,cue_right_hand,302,8,right_hand,26669,27235,106.71443139999974,2026-03-29T21:20:35.979
61,imagery_right_hand,312,8,right_hand,27427,27993,109.77983499999755,2026-03-29T21:20:39.045
62,imagery_end,320,8,right_hand,28939,29505,115.80549469999823,2026-03-29T21:20:45.071
63,iti_start,330,8,right_hand,28940,29506,115.80563699999766,2026-03-29T21:20:45.071
64,trial_end,210,8,right_hand,29324,29890,117.33336520000012,2026-03-29T21:20:46.598
65,trial_start,200,9,tongue,29325,29891,117.33360319999701,2026-03-29T21:20:46.599
66,baseline_start,110,9,tongue,29326,29892,117.33365259999846,2026-03-29T21:20:46.599
67,baseline_end,111,9,tongue,30331,30897,121.37869649999993,2026-03-29T21:20:50.644
68,cue_tongue,304,9,tongue,30332,30898,121.37879419999808,2026-03-29T21:20:50.644
69,imagery_tongue,314,9,tongue,31094,31660,124.44982719999825,2026-03-29T21:20:53.715
70,imagery_end,320,9,tongue,32603,33169,130.476237699997,2026-03-29T21:20:59.741
71,iti_start,330,9,tongue,32604,33170,130.47634379999727,2026-03-29T21:20:59.741
72,trial_end,210,9,tongue,32988,33554,132.00742229999742,2026-03-29T21:21:01.272
73,trial_start,200,10,left_hand,32989,33555,132.00763689999803,2026-03-29T21:21:01.273
74,baseline_start,110,10,left_hand,32990,33556,132.0076740000004,2026-03-29T21:21:01.273
75,baseline_end,111,10,left_hand,33999,34565,136.04753159999746,2026-03-29T21:21:05.313
76,cue_left_hand,301,10,left_hand,34000,34566,136.0476411999989,2026-03-29T21:21:05.313
77,imagery_left_hand,311,10,left_hand,34765,35331,139.11043449999852,2026-03-29T21:21:08.375
78,imagery_end,320,10,left_hand,36259,36825,145.13352769999983,2026-03-29T21:21:14.399
79,iti_start,330,10,left_hand,36260,36826,145.13362529999722,2026-03-29T21:21:14.399
80,trial_end,210,10,left_hand,36646,37212,146.65905999999814,2026-03-29T21:21:15.924
81,trial_start,200,11,feet,36647,37213,146.65928399999757,2026-03-29T21:21:15.924
82,baseline_start,110,11,feet,36648,37214,146.65932129999783,2026-03-29T21:21:15.924
83,baseline_end,111,11,feet,37665,38231,150.70133499999793,2026-03-29T21:21:19.966
84,cue_feet,303,11,feet,37666,38232,150.70145499999853,2026-03-29T21:21:19.966
85,imagery_feet,313,11,feet,38421,38987,153.76247729999886,2026-03-29T21:21:23.028
86,imagery_end,320,11,feet,39928,40494,159.80441639999844,2026-03-29T21:21:29.069
87,iti_start,330,11,feet,39929,40495,159.80453769999804,2026-03-29T21:21:29.070
88,trial_end,210,11,feet,40316,40882,161.32409299999927,2026-03-29T21:21:30.589
89,trial_start,200,12,right_hand,40317,40883,161.32434499999727,2026-03-29T21:21:30.589
90,baseline_start,110,12,right_hand,40318,40884,161.32438729999922,2026-03-29T21:21:30.589
91,baseline_end,111,12,right_hand,41317,41883,165.3703308999975,2026-03-29T21:21:34.635
92,cue_right_hand,302,12,right_hand,41318,41884,165.3704297000004,2026-03-29T21:21:34.635
93,imagery_right_hand,312,12,right_hand,42094,42660,168.43563489999724,2026-03-29T21:21:37.701
94,imagery_end,320,12,right_hand,43598,44164,174.45604399999866,2026-03-29T21:21:43.721
95,iti_start,330,12,right_hand,43599,44165,174.4561579000001,2026-03-29T21:21:43.721
96,trial_end,210,12,right_hand,43979,44545,175.99334660000022,2026-03-29T21:21:45.258
97,trial_start,200,13,left_hand,43980,44546,175.9936209999978,2026-03-29T21:21:45.259
98,baseline_start,110,13,left_hand,43981,44547,175.99368219999815,2026-03-29T21:21:45.259
99,baseline_end,111,13,left_hand,44996,45562,180.05180979999932,2026-03-29T21:21:49.317
100,cue_left_hand,301,13,left_hand,44997,45563,180.0519523999974,2026-03-29T21:21:49.317
101,imagery_left_hand,311,13,left_hand,45757,46323,183.1241822999982,2026-03-29T21:21:52.389
102,imagery_end,320,13,left_hand,47268,47834,189.14139739999882,2026-03-29T21:21:58.406
103,iti_start,330,13,left_hand,47269,47835,189.14155369999935,2026-03-29T21:21:58.407
104,trial_end,210,13,left_hand,47646,48212,190.66852039999867,2026-03-29T21:21:59.934
105,trial_start,200,14,right_hand,47647,48213,190.66885799999727,2026-03-29T21:21:59.934
106,baseline_start,110,14,right_hand,47648,48214,190.66889869999795,2026-03-29T21:21:59.934
107,baseline_end,111,14,right_hand,48661,49227,194.72545389999868,2026-03-29T21:22:03.990
108,cue_right_hand,302,14,right_hand,48662,49228,194.72557459999734,2026-03-29T21:22:03.991
109,imagery_right_hand,312,14,right_hand,49430,49996,197.78048009999839,2026-03-29T21:22:07.046
110,imagery_end,320,14,right_hand,50922,51488,203.799203999999,2026-03-29T21:22:13.064
111,iti_start,330,14,right_hand,50923,51489,203.79932899999767,2026-03-29T21:22:13.064
112,trial_end,210,14,right_hand,51305,51871,205.3272560000005,2026-03-29T21:22:14.592
113,trial_start,200,15,feet,51306,51872,205.3274855999989,2026-03-29T21:22:14.593
114,baseline_start,110,15,feet,51307,51873,205.32752329999857,2026-03-29T21:22:14.593
115,baseline_end,111,15,feet,52331,52897,209.39029630000005,2026-03-29T21:22:18.655
116,cue_feet,303,15,feet,52332,52898,209.39041569999972,2026-03-29T21:22:18.655
117,imagery_feet,313,15,feet,53089,53655,212.45835909999732,2026-03-29T21:22:21.723
118,imagery_end,320,15,feet,54597,55163,218.48245859999952,2026-03-29T21:22:27.747
119,iti_start,330,15,feet,54598,55164,218.48256069999843,2026-03-29T21:22:27.748
120,trial_end,210,15,feet,54986,55552,220.0244950999986,2026-03-29T21:22:29.290
121,trial_start,200,16,tongue,54987,55553,220.02481569999873,2026-03-29T21:22:29.290
122,baseline_start,110,16,tongue,54988,55554,220.02487629999814,2026-03-29T21:22:29.290
123,baseline_end,111,16,tongue,56002,56568,224.08402339999884,2026-03-29T21:22:33.349
124,cue_tongue,304,16,tongue,56003,56569,224.08413929999733,2026-03-29T21:22:33.349
125,imagery_tongue,314,16,tongue,56758,57324,227.1355255999988,2026-03-29T21:22:36.401
126,imagery_end,320,16,tongue,58264,58830,233.15067519999866,2026-03-29T21:22:42.416
127,iti_start,330,16,tongue,58265,58831,233.15081439999994,2026-03-29T21:22:42.416
128,trial_end,210,16,tongue,58654,59220,234.69249619999755,2026-03-29T21:22:43.958
129,trial_start,200,17,left_hand,58655,59221,234.69274439999936,2026-03-29T21:22:43.958
130,baseline_start,110,17,left_hand,58656,59222,234.69279069999902,2026-03-29T21:22:43.958
131,baseline_end,111,17,left_hand,59652,60218,238.7327026999992,2026-03-29T21:22:47.998
132,cue_left_hand,301,17,left_hand,59653,60219,238.73284499999863,2026-03-29T21:22:47.998
133,imagery_left_hand,311,17,left_hand,60424,60990,241.7939468000004,2026-03-29T21:22:51.059
134,imagery_end,320,17,left_hand,61923,62489,247.82059119999758,2026-03-29T21:22:57.086
135,iti_start,330,17,left_hand,61924,62490,247.82073669999954,2026-03-29T21:22:57.086
136,trial_end,210,17,left_hand,62313,62879,249.34902069999953,2026-03-29T21:22:58.614
137,trial_start,200,18,right_hand,62314,62880,249.34932189999745,2026-03-29T21:22:58.614
138,baseline_start,110,18,right_hand,62315,62881,249.34939049999957,2026-03-29T21:22:58.614
139,baseline_end,111,18,right_hand,63319,63885,253.3926066999993,2026-03-29T21:23:02.658
140,cue_right_hand,302,18,right_hand,63320,63886,253.39271889999873,2026-03-29T21:23:02.658
141,imagery_right_hand,312,18,right_hand,64088,64654,256.46052190000046,2026-03-29T21:23:05.726
142,imagery_end,320,18,right_hand,65597,66163,262.47789980000016,2026-03-29T21:23:11.743
143,iti_start,330,18,right_hand,65598,66164,262.4780159000002,2026-03-29T21:23:11.743
